lf_move_id,lf_nome,data,valor_insumos_5902,chave,fb_move_id,fb_nome,fb_data,lf_periodo,fb_periodo
213880,VND/2025/00156,2025-03-15,177976.01,35250318467441000163550010000113881002138808,216360,ENTSI/2025/03/0045,2025-03-18,FECHADO,FECHADO
214149,VND/2025/00159,2025-03-17,88988.0,35250318467441000163550010000113931002141493,216319,ENTSI/2025/03/0043,2025-03-18,FECHADO,FECHADO
214185,VND/2025/00160,2025-03-17,83152.87,35250318467441000163550010000113951002141854,216318,ENTSI/2025/03/0042,2025-03-18,FECHADO,FECHADO
214048,VND/2025/00158,2025-03-17,8567.08,35250318467441000163550010000113901002140487,216262,ENTSI/2025/03/0040,2025-03-18,FECHADO,FECHADO
215722,VND/2025/00164,2025-03-18,3553.92,35250318467441000163550010000114001002157221,216443,ENTSI/2025/03/0048,2025-03-18,FECHADO,FECHADO
215161,VND/2025/00161,2025-03-18,287.13,35250318467441000163550010000113961002151610,216468,ENTSI/2025/03/0049,2025-03-18,FECHADO,FECHADO
215507,VND/2025/00163,2025-03-18,2369.28,35250318467441000163550010000113991002155072,216392,ENTSI/2025/03/0046,2025-03-18,FECHADO,FECHADO
216047,VND/2025/00165,2025-03-18,5923.24,35250318467441000163550010000114031002160470,218535,ENTSI/2025/03/0054,2025-03-21,FECHADO,FECHADO
215388,VND/2025/00162,2025-03-18,15407.83,35250318467441000163550010000113971002153881,216417,ENTSI/2025/03/0047,2025-03-18,FECHADO,FECHADO
217034,VND/2025/00167,2025-03-19,8042.95,35250318467441000163550010000114081002170340,218077,ENTSI/2025/03/0050,2025-03-20,FECHADO,FECHADO
216753,VND/2025/00166,2025-03-19,8292.52,35250318467441000163550010000114061002167530,218497,ENTSI/2025/03/0053,2025-03-21,FECHADO,FECHADO
217700,VND/2025/00170,2025-03-20,2625.35,35250318467441000163550010000114141002177007,218391,ENTSI/2025/03/0051,2025-03-21,FECHADO,FECHADO
217877,VND/2025/00171,2025-03-20,12251.72,35250318467441000163550010000114161002178776,218607,ENTSI/2025/03/0056,2025-03-21,FECHADO,FECHADO
217379,VND/2025/00168,2025-03-20,8292.52,35250318467441000163550010000114091002173796,218578,ENTSI/2025/03/0055,2025-03-21,FECHADO,FECHADO
217586,VND/2025/00169,2025-03-20,6210.14,35250318467441000163550010000114121002175867,218694,ENTSI/2025/03/0058,2025-03-21,FECHADO,FECHADO
218830,VND/2025/00174,2025-03-21,7865.3,35250318467441000163550010000114231002188300,219745,ENTSI/2025/03/0059,2025-03-24,FECHADO,FECHADO
218441,VND/2025/00173,2025-03-21,2625.35,35250318467441000163550010000114201002184418,218668,ENTSI/2025/03/0057,2025-03-21,FECHADO,FECHADO
218124,VND/2025/00172,2025-03-21,9626.34,35250318467441000163550010000114171002181243,218466,ENTSI/2025/03/0052,2025-03-21,FECHADO,FECHADO
219190,VND/2025/00175,2025-03-22,171694.36,35250318467441000163550010000114261002191906,227002,ENTSI/2025/04/0001,2025-04-01,FECHADO,FECHADO
219215,VND/2025/00176,2025-03-22,7876.17,35250318467441000163550010000114281002192150,222752,ENTSI/2025/03/0065,2025-03-26,FECHADO,FECHADO
219284,VND/2025/00177,2025-03-22,171710.65,35250318467441000163550010000114301002192840,219802,ENTSI/2025/03/0060,2025-03-24,FECHADO,FECHADO
220017,VND/2025/00179,2025-03-24,7293.22,35250318467441000163550010000114331002200179,222612,ENTSI/2025/03/0062,2025-03-26,FECHADO,FECHADO
220475,VND/2025/00181,2025-03-24,3968.86,35250318467441000163550010000114371002204750,222665,ENTSI/2025/03/0063,2025-03-26,FECHADO,FECHADO
220091,VND/2025/00180,2025-03-24,6106.61,35250318467441000163550010000114351002200912,222587,ENTSI/2025/03/0061,2025-03-26,FECHADO,FECHADO
219555,VND/2025/00178,2025-03-24,11042.18,35250318467441000163550010000114311002195553,227084,ENTSI/2025/04/0002,2025-04-01,FECHADO,FECHADO
220513,VND/2025/00182,2025-03-24,5064.86,35250318467441000163550010000114381002205134,222725,ENTSI/2025/03/0064,2025-03-26,FECHADO,FECHADO
